name,date,high,low,close,volume
LiteCoin,2019-08-12,90.19679439,85.72620723,85.85131925,2685782556.0
LiteCoin,2019-08-13,86.50079367,83.73282594,84.78736384,2390930802.0
LiteCoin,2019-08-14,85.99976713,75.76942787,75.82580102,2619264185.0
LiteCoin,2019-08-15,77.48147789,72.42270645,76.21381601,3406299528.0
LiteCoin,2019-08-16,76.69656871,73.06540565,74.7600736,3132137586.0
LiteCoin,2019-08-17,75.16635184,72.26321334,72.78589413,2577819180.0
LiteCoin,2019-08-18,77.57855977,71.84155331,76.20869273,2556061476.0
LiteCoin,2019-08-19,78.42648375,75.73274378,77.19014644,2440693399.0
LiteCoin,2019-08-20,77.13913051,73.81306387,75.05807787,2219797252.0
LiteCoin,2019-08-21,75.39288875,70.70273294,73.14056977,2436543805.0
LiteCoin,2019-08-22,74.34785743,71.411803,73.61278183,2524047933.0
LiteCoin,2019-08-23,75.55335528,72.88586096,75.26590349,1871777938.0
LiteCoin,2019-08-24,75.53999204,72.17524146,73.22794434,1687049761.0
LiteCoin,2019-08-25,74.65557746,71.21533277,72.43811825,1633347290.0
LiteCoin,2019-08-26,74.99092682,72.35442638,73.87923338,2305381998.0
LiteCoin,2019-08-27,73.87486868,72.49370559,73.0848211,2273379636.0
LiteCoin,2019-08-28,73.17299302,66.26821549,67.31361489,2115689780.0
LiteCoin,2019-08-29,67.18965045,63.36503322,63.92802689,2598461982.0
LiteCoin,2019-08-30,65.4449839,62.62559254,64.28425967,2355666635.0
LiteCoin,2019-08-31,65.15014431,62.77864235,64.42345955,1901491683.0
LiteCoin,2019-09-01,66.81844744,64.38864491,66.1318328,1987267232.0
LiteCoin,2019-09-02,67.4673783,64.91598068,66.71647048,2025537691.0
LiteCoin,2019-09-03,70.6708091,66.39491773,69.01367571,2569683424.0
LiteCoin,2019-09-04,69.080543,66.71515787,67.19515826,2806625181.0
LiteCoin,2019-09-05,67.41584404,64.56446887,65.36612149,2493891551.0
LiteCoin,2019-09-06,67.78711907,64.75758304,65.15704521,2347141681.0
LiteCoin,2019-09-07,70.10214476,64.71300488,68.86955193,2516632680.0
LiteCoin,2019-09-08,71.08051193,68.73550264,70.4207411,2834496499.0
LiteCoin,2019-09-09,70.80039178,68.3804464,70.02698291,2524297647.0
LiteCoin,2019-09-10,72.41204132,69.91438262,70.73964376,2825716607.0
LiteCoin,2019-09-11,71.23993004,68.80277853,69.67520627,2615217985.0
LiteCoin,2019-09-12,69.93549083,68.51712952,69.10463794,2382131385.0
LiteCoin,2019-09-13,69.45270449,67.68358393,68.74221821,2317306698.0
LiteCoin,2019-09-14,71.01929093,68.35735665,70.48219311,2362459244.0
LiteCoin,2019-09-15,71.1184148,69.73308865,70.06055406,2465609334.0
LiteCoin,2019-09-16,73.25191034,69.69511516,72.4314371,2432307037.0
LiteCoin,2019-09-17,76.65485295,72.20424958,74.21104527,2877494422.0
LiteCoin,2019-09-18,79.64602084,73.99629671,77.66842459,3647451974.0
LiteCoin,2019-09-19,77.68812586,72.99050568,76.85826273,4070305859.0
LiteCoin,2019-09-20,76.68737509,73.86288105,75.2642736,3528154609.0
LiteCoin,2019-09-21,75.48449848,72.7765148,73.31126823,2950525499.0
LiteCoin,2019-09-22,73.27284596,71.40383804,72.45579068,2547970357.0
LiteCoin,2019-09-23,73.87055222,64.80987456,66.92175608,2607423137.0
LiteCoin,2019-09-24,67.55193196,56.32359911,56.32359911,3467565383.0
LiteCoin,2019-09-25,58.01352985,54.13283456,57.45764278,3819445303.0
LiteCoin,2019-09-26,57.44037661,52.14919812,55.03400517,2685429115.0
LiteCoin,2019-09-27,56.49131421,53.37330149,55.87512695,2413657563.0
LiteCoin,2019-09-28,56.18056564,54.15898418,55.36853214,1927507750.0
LiteCoin,2019-09-29,55.57313187,52.79490593,54.05254833,1761148571.0
LiteCoin,2019-09-30,56.06836797,53.0642517,55.92846143,1968202225.0
LiteCoin,2019-10-01,57.45984823,55.24581831,55.75098076,2193424065.0
LiteCoin,2019-10-02,56.58949866,55.42368981,56.42413912,2184235973.0
LiteCoin,2019-10-03,56.76905182,54.68108504,56.36005525,2023690603.0
LiteCoin,2019-10-04,57.25775755,55.48877691,56.53997691,2219541017.0
LiteCoin,2019-10-05,57.26533094,55.8408333,56.73135344,2008253536.0
LiteCoin,2019-10-06,56.77781028,53.91939077,54.61533753,2104008387.0
LiteCoin,2019-10-07,58.42785467,53.89677319,57.53431276,2652800776.0
LiteCoin,2019-10-08,58.29051306,56.67655943,57.12149941,2609055961.0
LiteCoin,2019-10-09,59.70151398,56.76830163,59.33240684,2458105589.0
LiteCoin,2019-10-10,59.29789606,57.26509525,57.45361135,2493618809.0
LiteCoin,2019-10-11,58.19491061,55.58580255,55.75541939,2274238035.0
LiteCoin,2019-10-12,56.47145929,55.72701426,55.83094092,2007247039.0
LiteCoin,2019-10-13,57.51822552,55.75428093,56.58742154,1917452332.0
LiteCoin,2019-10-14,57.13103747,56.23549325,56.88754328,2017790533.0
LiteCoin,2019-10-15,57.27498396,54.46372278,54.69511045,2121067778.0
LiteCoin,2019-10-16,55.27624833,52.19278833,52.61648528,2352731904.0
LiteCoin,2019-10-17,54.92514817,51.93678736,54.82230816,2588364267.0
LiteCoin,2019-10-18,54.80575185,52.75228208,53.28449594,2445806029.0
LiteCoin,2019-10-19,54.07178758,52.86781982,53.80161588,2107502110.0
LiteCoin,2019-10-20,55.292123,52.93235297,54.77748988,2066716516.0
LiteCoin,2019-10-21,55.34064682,53.84227119,54.75201513,2140056963.0
LiteCoin,2019-10-22,55.02089477,53.31579688,53.45478817,2102245351.0
LiteCoin,2019-10-23,53.50389514,48.05563521,49.43648813,2297520172.0
LiteCoin,2019-10-24,50.18082361,48.59700354,49.81766401,2597113797.0
LiteCoin,2019-10-25,57.81122595,49.28762805,56.90891517,2556438726.0
LiteCoin,2019-10-26,61.98357645,54.66573819,56.76899431,4581302191.0
LiteCoin,2019-10-27,62.1261725,55.80019575,59.71519615,4228716956.0
LiteCoin,2019-10-28,62.04204772,57.80562834,58.02410404,3908639498.0
LiteCoin,2019-10-29,60.53468389,57.97937582,59.76776475,3341299598.0
LiteCoin,2019-10-30,60.74170522,57.28445203,58.04697586,3195238018.0
LiteCoin,2019-10-31,59.2691783,57.34164992,58.44306272,2818700142.0
